                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2371,                0.70556,                0.93467,                0.78856,                0.69086,                0.74206,                0.45878,                 1.1214,                 0.6215,                0.92588,               0.003268,               0.003268,               0.003268
                     36,                 1.2253,                0.70013,                0.92802,                0.79159,                0.69133,                0.74478,                 0.4656,                  1.092,                0.60521,                0.91413,                0.00307,                0.00307,                0.00307
                     37,                 1.2163,                0.69615,                0.92748,                0.80455,                0.69051,                0.74781,                0.46726,                 1.0878,                0.59892,                0.91475,               0.002872,               0.002872,               0.002872
                     38,                 1.1951,                0.68602,                0.92492,                 0.8068,                0.68769,                0.74562,                0.46752,                 1.0831,                0.59883,                0.91341,               0.002674,               0.002674,               0.002674
                     39,                 1.1925,                0.68356,                0.92203,                 0.8039,                0.69817,                0.74953,                0.47337,                 1.0691,                0.58911,                0.90755,               0.002476,               0.002476,               0.002476
                     40,                 1.1872,                0.68012,                0.92065,                0.80257,                0.69283,                0.75268,                0.47619,                 1.0622,                0.58901,                0.90618,               0.002278,               0.002278,               0.002278
                     41,                 1.1738,                0.67605,                0.91718,                0.79746,                0.69916,                0.75318,                0.47652,                 1.0599,                0.58202,                0.90438,                0.00208,                0.00208,                0.00208
                     42,                 1.1726,                0.67317,                0.91727,                0.81154,                0.70096,                0.75369,                0.47735,                 1.0538,                0.58203,                0.90134,               0.001882,               0.001882,               0.001882
                     43,                 1.1526,                0.66507,                0.91586,                 0.8081,                0.69734,                0.75527,                0.47906,                 1.0436,                0.57839,                0.89914,               0.001684,               0.001684,               0.001684
                     44,                 1.1448,                0.66461,                0.91416,                0.81292,                0.69717,                0.75425,                0.47976,                 1.0414,                0.57825,                0.89954,               0.001486,               0.001486,               0.001486
                     45,                 1.1549,                0.66617,                0.91112,                0.80601,                0.69622,                0.75066,                0.47572,                 1.0562,                0.57988,                0.90203,               0.001288,               0.001288,               0.001288
                     46,                  1.138,                0.65774,                 0.9092,                0.81387,                0.69889,                0.75897,                 0.4835,                 1.0351,                0.57144,                0.89717,                0.00109,                0.00109,                0.00109
                     47,                 1.1341,                0.65382,                0.90737,                0.81715,                0.70115,                0.75787,                0.48391,                 1.0347,                0.57087,                0.89632,               0.000892,               0.000892,               0.000892
                     48,                 1.1152,                0.64764,                0.90629,                0.81192,                 0.7016,                0.75716,                0.48238,                 1.0314,                0.57027,                0.89457,               0.000694,               0.000694,               0.000694
                     49,                 1.1184,                0.64902,                0.90611,                0.81114,                0.70483,                0.75832,                0.48505,                 1.0295,                0.56822,                 0.8947,               0.000496,               0.000496,               0.000496
